doc_type,doc_no,date,original_customer,ac_code,original_division,created_by,created_ts,original_salesman,amount,customer,division,salesman
DO10,1001,2024-01-04,MILESTONE CONSTRUCTIONS LLC,AR-M0028,HO,AKTAR,2024-01-04,NASSAR,0.0,cus_1628382814,div_2006915470,man_0864799156
DO10,1014,2024-01-07,MILESTONE CONSTRUCTIONS LLC,AR-M0028,HO,NASSAR,2024-01-07,NASSAR,38415.0,cus_1628382814,div_2006915470,man_0864799156
DO40,1024,2024-01-08,ENGIE COFELY ENERGY SERVICES LLC,AR-E0021,Branch 2,SHAJAHAN M,2024-01-08,SHAJAHAN ,140.0,cus_1073783779,div_0097926054,man_1937350786
DO10,1050,2024-01-12,MILESTONE CONSTRUCTIONS LLC,AR-M0028,HO,NASSAR,2024-01-12,NASSAR,2110.0,cus_1628382814,div_2006915470,man_0864799156
DO40,1076,2024-01-28,ENGIE COFELY ENERGY SERVICES LLC,AR-E0021,Branch 2,SHAJAHAN M,2024-01-28,SHAJAHAN ,260.0,cus_1073783779,div_0097926054,man_1937350786
DO30,2500605,2025-03-14,ROYAL APEX BUILDING MATERIALS TRADING L.L.C. AL QOUZ-3,AR-R0034,Sharjah,ZAINUDHEEN,2025-03-14,ZAMEER ,2225.0,cus_0355488517,div_1742449716,man_1964161347
DO20,2500506,2025-03-14,QALAT AL KHALEEJ GENERAL CON AND MAINTENANCE,AR-Q0001,MCJ,SAFEER M,2025-03-14,RINSHAD T K,1810.0,cus_0171186648,div_0556003793,man_2128340233
ODO10,2500181,2025-03-15,AL NASIYA GENERAL CONTRACTING L.L.C. CO,AR-A0149,HO,NAVEED,2025-03-15,NEVIN K,305.0,cus_1520944275,div_2006915470,man_0832785071
OFDO10,2500046,2025-03-15,ABU DHABI PORTS COMPANY,AR-A0019,HO,RIYAS P,2025-03-15,FAROOK,24722.5,cus_1957811793,div_2006915470,man_1091962667
OFDO10,2500047,2025-03-15,ABU DHABI PORTS COMPANY,AR-A0019,HO,RIYAS P,2025-03-15,FAROOK,111.25,cus_1957811793,div_2006915470,man_1091962667
DO20,2500511,2025-03-15,RAFHA TR. L.L.C,AR-R0005,MCJ,RINSHAD TK,2025-03-15,RINSHAD T K,1960.0,cus_1462243956,div_0556003793,man_2128340233
DO40,1172,2024-02-20,ENGIE COFELY ENERGY SERVICES LLC,AR-E0021,Branch 2,SHAJAHAN M,2024-02-20,SHAJAHAN ,380.0,cus_1073783779,div_0097926054,man_1937350786
DO40,1174,2024-02-21,ENGIE COFELY ENERGY SERVICES LLC,AR-E0021,Branch 2,SHAJAHAN M,2024-02-21,SHAJAHAN ,230.0,cus_1073783779,div_0097926054,man_1937350786
DO40,1179,2024-02-23,ENGIE COFELY ENERGY SERVICES LLC,AR-E0021,Branch 2,SHAJAHAN M,2024-02-23,SHAJAHAN ,430.0,cus_1073783779,div_0097926054,man_1937350786
ODO10,3109,2024-07-13,PURPLE EXHIBITION EXECUTION L.L.C.,AR-P0030,HO,NAVEED,2024-07-13,NEVIN K,890.0,cus_0022779977,div_2006915470,man_0832785071
ODO10,3149,2024-07-18,GRANITE CONSTRUCTION COMPANY,AR-G0022,HO,NAVEED,2024-07-18,NEVIN K,362.7,cus_0003525443,div_2006915470,man_0832785071
DO10,1830,2024-08-07,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2024-08-07,FAISAL,1006.0,cus_0645899566,div_2006915470,man_1993412060
ODO10,3439,2024-08-14,EFS FACILITIES MANAGEMENT SERVICES .L.L.C,AR-E0005,HO,RIYAS,2024-08-14,RIYAS M,800.0,cus_0345774552,div_2006915470,man_2030811350
DO30,2441,2024-08-16,M B H BUILDING MATERIALS TRADING LLC,AR-M0002,Sharjah,ZAINUDHEEN,2024-08-16,ZAMEER ,2225.0,cus_1558551205,div_1742449716,man_1964161347
DO10,1936,2024-08-31,HEIRS OF SAEED ABDULLA NASER ALJNEIBI,AR-S0007,HO,SHIBIN,2024-08-31,FAISAL,94.0,cus_0406287333,div_2006915470,man_1993412060
