timestamp,prompt,handler,success,latency_ms,extra_info
2025-06-26T15:08:57.014585,Show top 5 products with highest margin.,keyword_router,True,894,{}
2025-06-26T15:09:09.179772,What are my most profitable products?,keyword_router,True,846,{}
2025-06-26T15:09:13.694143,top 5 salesman,keyword_router,True,566,{}
2025-06-26T15:09:18.408553,top 5 products,keyword_router,True,428,{}
2025-06-26T15:09:33.876194,Show product-wise profit margins.,keyword_router,True,1910,{}
2025-06-26T15:09:40.611128,Pending delivery orders for Division 1.,keyword_router,True,428,{}
2025-06-26T15:10:07.694555,Salesman_123 pending DO summary.,keyword_router,True,409,{}
2025-06-26T15:10:27.995606,Pending delivery orders for div_0556003793,keyword_router,True,433,{}
2025-06-26T15:10:44.890879,Pending delivery orders for div_1434764897,keyword_router,True,412,{}
2025-06-26T15:10:59.080149,Pending delivery orders for div_0556003793,keyword_router,True,456,{}
2025-06-26T15:19:04.061911,Pending delivery orders for div_0556003793,keyword_router,True,445,{}
2025-06-26T15:19:24.737819,Pending delivery orders for div_2006915470,keyword_router,True,436,{}
2025-06-26T15:42:43.138307,"""What is my pending DO to invoice?""	",keyword_router,True,893,{}
2025-06-26T15:43:01.848106,Pending DOs by salesman,keyword_router,True,1159,{}
2025-06-26T15:43:26.433457,Show open delivery orders by customer,keyword_router,True,861,{}
2025-06-26T15:43:41.621114,Pending DOs above 5000,keyword_router,True,913,{}
2025-06-26T15:44:03.605517,Delivery orders not yet invoiced by man_0864799156.,keyword_router,True,413,{}
2025-06-26T15:44:53.005536,Top 3 customers for Division 2,keyword_router,True,1127,{}
2025-06-26T15:45:50.424188,What is my pending DO total?,keyword_router,True,414,{}
2025-06-26T15:46:51.383015,Pending delivery orders for div_2006915470,keyword_router,True,448,{}
2025-06-26T15:46:57.767836,Pending delivery orders for div_0556003793,keyword_router,True,412,{}
2025-06-26T15:47:05.313323,What is my pending DO to invoice?,keyword_router,True,425,{}
2025-06-26T15:48:06.040953,Top 3 customers for Division 2,keyword_router,True,466,{}
2025-06-26T15:48:13.875635,Delivery orders not yet invoiced by man_0864799156.,keyword_router,True,454,{}
2025-06-26T15:48:48.101438,"""What is my pending DO total?""",keyword_router,True,879,{}
2025-06-26T15:48:57.492639,"""Show total value of open delivery orders""",keyword_router,True,851,{}
2025-06-26T15:49:02.689078,"""How much pending DO do we have?""",keyword_router,True,588,{}
2025-06-26T15:49:10.343597,"""Unbilled delivery orders summary""",keyword_router,True,558,{}
2025-06-26T15:49:10.345048,,keyword_router,True,,{}
2025-06-26T15:49:16.265262,"""Pending DOs by salesman""",keyword_router,True,462,{}
2025-06-26T15:49:21.838478,"""Show pending delivery by customer""",keyword_router,True,506,{}
2025-06-26T15:49:31.243937,Show pending delivery by customer,keyword_router,True,419,{}
2025-06-26T15:49:46.236477,"""Top 10 customers with pending DOs""",keyword_router,True,938,{}
2025-06-26T15:49:46.239837,,keyword_router,True,,{}
2025-06-26T15:49:53.838632,"""Group open DOs by division""",keyword_router,True,413,{}
2025-06-26T15:49:59.692598,"""Top 3 salesmen for open delivery""",keyword_router,True,,{}
2025-06-26T15:50:04.109589,"""Top 3 salesmen for open delivery""",keyword_router,True,,{}
2025-06-26T15:50:21.310860,"""Customer-wise pending DO summary""",keyword_router,True,985,{}
2025-06-26T15:50:21.315295,,keyword_router,True,,{}
