party_code,doc_type,original_party_name,doc_no,salesman_master,original_salesman,doc_date,due_date,od_days,age_days,days_0_30,days_31_60,days_61_90,days_91_120,days_121_150,days_151_180,days_181_210,days_above_210,unallocated,balance,original_division,party_name,division,salesman
AR-A0009,JV20,ABDULLA HASSAN TRADING(AR-A0009),Opb:OPB-8827,SAFEER,,2020-01-07,2020-04-06,1809.0,1899.0,,,,,,,,535.5,,-535.5,MCJ,party_1106399338,div_0556003793,man_0110721370
AR-A0009,JV10,ABDULLA HASSAN TRADING(AR-A0009),Opb:OPB-8814,SAFEER,,2018-05-12,2018-08-10,2414.0,2504.0,,,,,,,,577.5,,-577.5,HO+A1:U20,party_1106399338,div_1721846076,man_0110721370
AR-A0009,JV10,ABDULLA HASSAN TRADING(AR-A0009),Opb:OPB-8815,SAFEER,,2018-08-09,2018-11-07,2325.0,2415.0,,,,,,,,603.75,,-603.75,HO,party_1106399338,div_2006915470,man_0110721370
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),2500331,ZAMEER ,ZAMEER ,2025-02-11,2025-06-11,-83.0,37.0,,13335.0,,,,,,,,-13335.0,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),3293,ZAMEER ,ZAMEER ,2024-12-11,2025-04-10,-21.0,99.0,,,,892.5,,,,,,-892.5,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),3139,ZAMEER ,ZAMEER ,2024-11-18,2025-03-18,2.0,122.0,,,,,2268.0,,,,,-2268.0,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),3135,ZAMEER ,ZAMEER ,2024-11-18,2025-03-18,2.0,122.0,,,,,945.0,,,,,-945.0,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0050,JV10,AL ADA AL MOMAYAZ GENERAL CONTRACTING LLC(AR-A0050),Opb:OPB-25493,SAFEER,,2018-10-31,2018-10-31,2332.0,2332.0,,,,,,,,1353.45,,-1353.45,HO,party_0342445938,div_2006915470,man_0110721370
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),2500438,ZAMEER ,ZAMEER ,2025-02-26,2025-06-26,-98.0,22.0,446.25,,,,,,,,,-446.25,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),2954,ZAMEER ,ZAMEER ,2024-10-24,2025-02-21,27.0,147.0,,,,,551.25,,,,,-551.25,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),2500538,ZAMEER ,ZAMEER ,2025-03-08,2025-07-06,-108.0,12.0,1953.0,,,,,,,,,-1953.0,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),2835,ZAMEER ,ZAMEER ,2024-10-08,2025-02-05,43.0,163.0,,,,,,2152.5,,,,-2152.5,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),3117,ZAMEER ,ZAMEER ,2024-11-15,2025-03-15,5.0,125.0,,,,,976.5,,,,,-976.5,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),2500384,ZAMEER ,ZAMEER ,2025-02-19,2025-06-19,-91.0,29.0,446.25,,,,,,,,,-446.25,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),2889,ZAMEER ,ZAMEER ,2024-10-16,2025-02-13,35.0,155.0,,,,,,1732.5,,,,-1732.5,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),2500522,ZAMEER ,ZAMEER ,2025-03-07,2025-07-05,-107.0,13.0,1354.5,,,,,,,,,-1354.5,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0011,SI30,ABU ABDELREHMAN ELECT. & SANIT. MATERIAL TRDG.(AR-A0011),3266,ZAMEER ,ZAMEER ,2024-12-09,2025-04-08,-19.0,101.0,,,,1443.75,,,,,,-1443.75,Sharjah,party_1131571815,div_1742449716,man_1964161347
AR-A0015,OSI10,ABU DHABI GOLF CLUB(AR-A0015),2500143,NEVIN K,NEVIN K,2025-03-19,2025-06-17,-89.0,1.0,481.95,,,,,,,,,-481.95,HO,party_0651926396,div_2006915470,man_0832785071
AR-A0015,OSI10,ABU DHABI GOLF CLUB(AR-A0015),2500083,NEVIN K,NEVIN K,2025-02-20,2025-05-21,-62.0,28.0,409.5,,,,,,,,,-409.5,HO,party_0651926396,div_2006915470,man_0832785071
AR-A0016,SI40,ABU DHABI HARDWARE CO.W.L.L(AR-A0016),2163,ABDUL SATHAR,ABDUL SATHAR,2024-12-12,2025-04-11,-22.0,98.0,,,,682.5,,,,,,-682.5,Branch 2,party_0460767387,div_0097926054,man_0427457728
