DocType,DocNo,Docdate,Party Code,original_party_name,Location,Stock Code,Stock Description,Unit,Quantity,Rate,Gross Amount,Discount,Net Amount,Supplier Category,Product Division,Category,Sub Category,Brand,Nature of Sales,COO,Group,Created by,Created TS,Posted by,Posted TS,Currency,Currency Rate,Fcy Gross Amount,Fcy Discount,Fcy Net Amount,Party Name
LPI20,1659.0,2024-03-06,AP-M0087,Multicom Enterprises L.L.C.,Multicolor,13343,BONDO STEEL PUTTY ULTIMATE GLN 234D ( 1 CTN X 4 GLN ),CTN,10.0,233.0,2330.0,0.0,2330.0,LOCAL,,PAINTING RELATED ITEMS,BONDO STEEL PUTTY,brand_1697949834,,,No Warranty,KAJA,2024-03-27,KAJA,2024-03-28,AED,1.0,2330.0,0.0,2330.0,party_1369237310
ICPI10,1058.0,2024-02-02,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,18420,BATHTUB OCEANIC 170X80X39CM WA6013,NOS,5.0,150.0,750.0,0.0,750.0,,,PLUMBING SOLUTIONS,BATHTUB,brand_0839938534,,,No Warranty,SHAMEER,2024-02-08,SHAMEER,2024-05-28,AED,1.0,750.0,0.0,750.0,party_0361422916
ICPI10,1114.0,2024-02-29,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,18522,WASH BASIN MIXER SET TALL CHROME OCEANIC D3369TZ,NOS,20.0,95.0,1900.0,0.0,1900.0,,,PLUMBING SOLUTIONS,WASH BASIN MIXER,brand_0839938534,,,No Warranty,SHAMEER,2024-03-09,SHAMEER,2024-03-09,AED,1.0,1900.0,0.0,1900.0,party_0361422916
ICPI10,1184.0,2024-05-31,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,18412,BATH MIXER SET SMART FLOW OCEANIC S4453Z-EC,NOS,20.0,39.0,780.0,0.0,780.0,,,PLUMBING SOLUTIONS,BATH MIXER SET,brand_0839938534,,,No Warranty,SHAMEER,2024-09-01,SHAMEER,2024-09-01,AED,1.0,780.0,0.0,780.0,party_0361422916
CPI10,1181.0,2024-09-02,AP-R0022,Raymond Hardware,Branch 2,22554,SL212 SILICONE CLEAR PATTEX,NOS,1.0,13.0,13.0,0.0,13.0,LOCAL,,ADHESIVE,SILICONE SEALANT,brand_1697676547,,,No Warranty,SREEJITH,2024-09-14,SREEJITH,2024-09-14,AED,1.0,13.0,0.0,13.0,party_1203351242
ICPI10,1198.0,2024-09-29,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,18490,SINGLE COLD TAP CHROME OCEANIC S3001Z,NOS,250.0,35.0,8750.0,0.0,8750.0,,,PLUMBING SOLUTIONS,WASH BASIN MIXER,brand_0839938534,,,No Warranty,ANISH,2024-09-29,ANISH,2024-09-29,AED,1.0,8750.0,0.0,8750.0,party_0361422916
ICPI10,1221.0,2024-12-11,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,37351,"10"" WATER FILTER CARTRIDGE CARBON UDF OCEANIC OCE-UDF-010-10 Made in Taiwan",NOS,75.0,14.0,1050.0,0.0,1050.0,,,PLUMBING SOLUTIONS,WATER FILTER,brand_0839938534,,,No Warranty,ANISH,2024-12-11,ANISH,2024-12-11,AED,1.0,1050.0,0.0,1050.0,party_0361422916
ICPI10,1222.0,2024-12-12,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,18421,BATHTUB OCEANIC 180X80X39CM WA6013,NOS,5.0,1.0,5.0,0.0,5.0,,,PLUMBING SOLUTIONS,BATHTUB,brand_0839938534,,,No Warranty,ANISH,2024-12-12,ANISH,2024-12-12,AED,1.0,5.0,0.0,5.0,party_0361422916
IPI10,1016.0,2024-09-04,AP-T0077,Triwin Watertec Co.Ltd,Sajjah store (SHJ),37352,"10"" WATER FILTER CATRIDGE SPUN OCEANIC OCE-SPP005-10 Made in Taiwan",NOS,5000.0,1.95,9738.75,0.0,9738.75,,,PLUMBING SOLUTIONS,WATER FILTER,brand_0839938534,,,No Warranty,RAJAB IMPORT,2024-09-09,RISHAD,2024-10-04,USD,3.675,2650.0,0.0,2650.0,party_1284647398
IPI10,1016.0,2024-09-04,AP-T0077,Triwin Watertec Co.Ltd,Sajjah store (SHJ),37353,"10"" WATER FILTER CATRIDGE GROOVE OCE-PURFER-10 Made in Taiwan",NOS,3300.0,2.94,9702.0,0.0,9702.0,,,PLUMBING SOLUTIONS,WATER FILTER,brand_0839938534,,,No Warranty,RAJAB IMPORT,2024-09-09,RISHAD,2024-10-04,USD,3.675,2640.0,0.0,2640.0,party_1284647398
IPI10,1016.0,2024-09-04,AP-T0077,Triwin Watertec Co.Ltd,Sajjah store (SHJ),37357,"10"" WATER FILTER CATRIDGE GROOVE SPUN OCEANIC OCE-SGP005-10 Made in Taiwan",NOS,3300.0,4.04,13340.25,0.0,13340.25,,,PLUMBING SOLUTIONS,WATER FILTER,brand_0839938534,,,No Warranty,RAJAB IMPORT,2024-09-09,RISHAD,2024-10-04,USD,3.675,3630.0,0.0,3630.0,party_1284647398
LPI10,2080.0,2024-02-16,AP-B0040,Bin Hammad Trading Enterprises,M9 STORE,32989,4MM NYLON ROPE L/D,ROLL,30.0,3.25,97.5,0.0,97.5,LOCAL,,ROPE,,No brand mentioned,,,,SHIBIN,2024-03-11,SHIBIN,2024-03-13,AED,1.0,97.5,0.0,97.5,party_1774388039
LPI10,2080.0,2024-02-16,AP-B0040,Bin Hammad Trading Enterprises,M9 STORE,32693,6MM NYLON ROPE L/D ,ROLL,20.0,6.0,120.0,0.0,120.0,LOCAL,,ROPE,,No brand mentioned,,,,SHIBIN,2024-03-11,SHIBIN,2024-03-13,AED,1.0,120.0,0.0,120.0,party_1774388039
LPI10,8935.0,2024-11-01,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,20709,DYNAFLO 62201 DAVEY WATER PUMP SINGLE PHASE,NOS,1.0,2498.0,2498.0,0.0,2498.0,LOCAL,,PUMP & ACCESSORIES,DAVEY WATER PUMP,brand_1855341484,,,No Warranty,SHAJAHAN.KA,2024-12-10,SHAJAHAN.KA,2024-12-10,AED,1.0,2498.0,0.0,2498.0,party_1230640947
LPI10,7796.0,2024-10-18,AP-A0392,Aquaplex (Fze),M9 STORE,37064,WC FLUSH MECHANISM SIDE HYDROPLEX 4192P MADE IN TURKEY,NOS,20.0,22.0,440.0,0.0,440.0,LOCAL,,PLUMBING SOLUTIONS,FLUSH MECHANISM,brand_0055039065,,,No Warranty,SHAJAHAN.KA,2024-10-20,SHAJAHAN.KA,2024-10-20,AED,1.0,440.0,0.0,440.0,party_1769951525
