doctype,docno,docdate,party_code,original_party_name,lpo_no,location,original_salesman,gross_amount,discount,net_amount,vat_amount,created_ts,created_by,invoice_mode,area,original_division,division,salesman,party_name
CSI10,1036,2024-01-02,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,AKTAR HOSSAIN,42.0,0.0,42.0,2.1,2024-01-02,AKTAR,CASH,,HO,div_2006915470,man_0900539661,party_0832930093
CSI10,1035,2024-01-02,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,ABBAS ,19.0,0.0,19.0,0.95,2024-01-02,NASSAR,CASH,,HO,div_2006915470,man_1563038311,party_0832930093
CSI40,1009,2024-01-02,ARC-S0275,SIGMA,,Branch 2,RASHID ,5.5,0.0,5.5,0.28,2024-01-02,RASHID,CREDIT,,Branch 2,div_0097926054,man_0256316879,party_0077769424
CSI20,1099,2024-01-02,ARC-W0021,WALK IN - MCJ,,Multicolor,JAFEER ,35.0,0.0,35.0,1.75,2024-01-02,SAFEER M,CASH,,MCJ,div_0556003793,man_1683097300,party_0984764295
CSI20,1100,2024-01-02,ARC-K0091,KHADAMAT SOLE PROPRIETORSHIP L.L.C,,Multicolor,JAFEER ,317.0,0.0,317.0,15.85,2024-01-02,SAFEER M,CASH,,MCJ,div_0556003793,man_1683097300,party_1064460045
CSI10,1039,2024-01-02,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,AKTAR HOSSAIN,135.3,0.0,135.3,6.77,2024-01-02,AKTAR,CASH,,HO,div_2006915470,man_0900539661,party_0832930093
CSI20,1101,2024-01-02,ARC-K0091,KHADAMAT SOLE PROPRIETORSHIP L.L.C,,Multicolor,JAFEER ,42.0,0.0,42.0,2.1,2024-01-02,SAFEER M,CASH,,MCJ,div_0556003793,man_1683097300,party_1064460045
CSI20,1105,2024-01-02,ARC-M0341,MOTHER ENGINEERING,,Multicolor,JAFEER ,1605.0,0.0,1605.0,80.25,2024-01-02,SAFEER M,CASH,,MCJ,div_0556003793,man_1683097300,party_0604394271
CSI10,1037,2024-01-02,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,NASSAR,416.0,0.0,416.0,20.8,2024-01-02,NASSAR,CASH,,HO,div_2006915470,man_0864799156,party_0832930093
CSI20,1102,2024-01-02,ARC-M0408,MUNICH SKY CONTRACTING LLC-SOLE PROPRIETORSHIP L.L.C,,Multicolor,NISHAD T,1427.0,0.0,1427.0,71.35,2024-01-02,SAMSHEER,CASH,,MCJ,div_0556003793,man_1830493139,party_0355639660
OSI10,1111,2024-01-02,AR-B0022,BMQ TECHNICAL SUPPLIES COMPANY - L.L.C,2274,Musaffah Shop,ABDUL SATHAR,420.0,0.0,420.0,21.0,2024-01-27,ASHKAR,CREDIT,,HO,div_2006915470,man_0427457728,party_0372937441
CSI10,1048,2024-01-02,ARC-G0160,GOOD WAY ENGINEERING MECHANICAL WORKS CO LLC,,Musaffah Shop,FAISAL,50.0,0.5,49.5,2.48,2024-01-02,NASSAR,CASH,,HO,div_2006915470,man_1993412060,party_1295204160
CSI20,1103,2024-01-02,ARC-W0021,WALK IN - MCJ,,Multicolor,SHAHID ,1352.0,0.0,1352.0,67.6,2024-01-02,SAMSHEER,CASH,,MCJ,div_0556003793,man_1995826233,party_0984764295
CSI10,1038,2024-01-02,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,SUNDARAN ,18.0,0.0,18.0,0.9,2024-01-02,KEA,CASH,,HO,div_2006915470,man_0622657813,party_0832930093
CSI20,1104,2024-01-02,ARC-J1590,J C Maclean International FZCO,,Multicolor,SHAFI,790.0,0.0,790.0,39.5,2024-01-02,SAMSHEER,CASH,,MCJ,div_0556003793,man_1461566380,party_1822159596
CSI20,1106,2024-01-02,ARC-A1148,ALDEWAN AL MALAKI INTERIORS LLC,,Multicolor,SHAFI,290.0,0.0,290.0,14.5,2024-01-02,SAMSHEER,CASH,,MCJ,div_0556003793,man_1461566380,party_0462590270
CSI20,1107,2024-01-02,ARC-W0021,WALK IN - MCJ,,Multicolor,MANZOOR ,174.0,0.0,174.0,8.7,2024-01-02,SAFEER M,CASH,,MCJ,div_0556003793,man_1167757235,party_0984764295
CSI10,1040,2024-01-02,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,NASSAR,745.0,0.0,745.0,37.25,2024-01-02,NASSAR,CASH,,HO,div_2006915470,man_0864799156,party_0832930093
CSI20,1108,2024-01-02,ARC-A1530,AL MANHAJ GENERAL MAINTENANCE,,Multicolor,NISHAD T,925.0,0.0,925.0,46.25,2024-01-02,SAFEER M,CASH,,MCJ,div_0556003793,man_1830493139,party_0434811731
CSI20,1109,2024-01-02,ARC-Y1581,YOUNG LIFE BUILDING MATERIALS - L.L.C - O.P.C,,Multicolor,SANOOP,1080.0,0.0,1080.0,54.0,2024-01-02,SAMSHEER,CASH,ABU DHABI,MCJ,div_0556003793,man_0264100041,party_1238708972
CSI20,1111,2024-01-02,ARC-W0021,WALK IN - MCJ,,Multicolor,SHAFI,200.0,0.0,200.0,10.0,2024-01-02,SAFEER M,CASH,,MCJ,div_0556003793,man_1461566380,party_0984764295
CSI20,1110,2024-01-02,ARC-A1527,AL DHAFRA SKY CONTRACTING & GENERAL MAINTENANCE L.L.C,,Multicolor,JAFEER ,112.0,0.0,112.0,5.6,2024-01-02,SAMSHEER,CASH,,MCJ,div_0556003793,man_1683097300,party_1973842940
CSI20,1112,2024-01-02,ARC-G1612,Genfocus Electrical Equipment Trading,,Multicolor,SHAFI,515.0,0.0,515.0,25.75,2024-01-02,SAMSHEER,CASH,,MCJ,div_0556003793,man_1461566380,party_0751206008
CSI20,1114,2024-01-02,ARC-W0021,WALK IN - MCJ,,Multicolor,SAMSHEER ,531.0,0.0,531.0,26.55,2024-01-02,SAMSHEER,CASH,,MCJ,div_0556003793,man_1994684813,party_0984764295
CSI20,1113,2024-01-02,ARC-U0054,URUK GENERAL CONTRACTING & MAINT LLC,,Multicolor,SHAFI,370.0,0.0,370.0,18.5,2024-01-02,SAFEER M,CASH,,MCJ,div_0556003793,man_1461566380,party_1193901279
